"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 07 03:25:02 UTC 2024","Sun Apr 07 03:25:15 UTC 2024","13014","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","7. Complete In SMSF Details",""
"passed","Sun Apr 07 03:09:22 UTC 2024","Sun Apr 07 03:09:23 UTC 2024","623","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Sun Apr 07 03:53:08 UTC 2024","Sun Apr 07 03:53:11 UTC 2024","3167","","6. Company Account","","","","5. Complete Screen and tilts",""
"passed","Sun Apr 07 06:13:21 UTC 2024","Sun Apr 07 06:13:35 UTC 2024","14436","","20. Admin Portal - Check details","","","","1. Log in using manager login",""
"passed","Sun Apr 07 02:26:26 UTC 2024","Sun Apr 07 02:26:37 UTC 2024","11094","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","9. Navigate to Risk Profile",""
"passed","Sun Apr 07 02:26:37 UTC 2024","Sun Apr 07 02:27:03 UTC 2024","26139","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","10. Complete Risk Profile and navigate to Review",""
"passed","Sun Apr 07 03:25:18 UTC 2024","Sun Apr 07 03:25:19 UTC 2024","528","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Sun Apr 07 06:43:47 UTC 2024","Sun Apr 07 06:45:06 UTC 2024","78247","","22. Individual Onboarding for Interactive Brokers","","","","9. Complete Applicants",""
"skipped","Sun Apr 07 07:06:52 UTC 2024","Sun Apr 07 07:06:52 UTC 2024","1","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"passed","Sun Apr 07 06:13:41 UTC 2024","Sun Apr 07 06:13:42 UTC 2024","322","","20. Admin Portal - Check details","","","","3. Check panels existence",""
"passed","Sun Apr 07 03:52:52 UTC 2024","Sun Apr 07 03:52:57 UTC 2024","4810","","6. Company Account","","","","3. Complete Investment Choice",""
"passed","Sun Apr 07 03:06:15 UTC 2024","Sun Apr 07 03:06:21 UTC 2024","6093","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"skipped","Sun Apr 07 07:06:52 UTC 2024","Sun Apr 07 07:06:52 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
"passed","Sun Apr 07 05:29:13 UTC 2024","Sun Apr 07 05:29:54 UTC 2024","41196","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"failed","Sun Apr 07 04:15:55 UTC 2024","Sun Apr 07 04:18:25 UTC 2024","150435","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"passed","Sun Apr 07 03:25:15 UTC 2024","Sun Apr 07 03:25:18 UTC 2024","3349","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
